     light   presence   light_on    timestamp
    46.667          1          0   1466474918
    30.000          1          0   1466474919
    31.667          1          0   1466474920
    27.500          1          1   1466474921
    35.000          1          1   1466474922
    41.667          1          1   1466474923
    41.667          1          1   1466474924
    42.500          1          1   1466474925
    42.500          1          1   1466474926
    38.333          1          1   1466474927
    47.500          1          1   1466474928
    47.500          1          1   1466474929
