     light   presence   light_on    timestamp
    47.500          1          0   1466476261
    48.333          0          1   1466476283
    35.833          1          1   1466476336
    42.500          1          1   1466476362
    35.833          1          1   1466476378
    45.000          1          1   1466476383
    45.000          1          1   1466476392
    41.667          1          0   1466476446
     0.000          1          0   1466476452
     0.000          0          0   1466476506
     0.000          0          0   1466476512
     0.000          0          0   1466476566
     0.000          0          0   1466476572
     0.000          0          0   1466476626
     0.000          0          0   1466476632
     0.000          0          0   1466476686
     0.000          0          0   1466476692
     0.000          0          0   1466476746
     0.000          0          0   1466476752
     0.000          0          0   1466476806
     0.000          0          0   1466476812
     0.000          0          0   1466476866
     0.000          0          0   1466476872
     0.000          0          0   1466476926
     0.000          0          0   1466476932
     0.000          0          0   1466476987
     0.000          0          0   1466476992
     0.000          0          0   1466477047
     0.000          0          0   1466477052
     0.000          0          0   1466477107
     0.000          0          0   1466477112
     0.000          0          0   1466477167
     0.000          0          0   1466477172
     0.000          0          0   1466477227
     0.000          0          0   1466477232
     0.000          0          0   1466477287
     0.000          0          0   1466477292
     0.000          0          0   1466477347
     0.000          0          0   1466477352
     0.000          0          0   1466477407
     0.000          0          0   1466477412
     0.000          0          0   1466477467
     0.000          0          0   1466477472
     0.000          0          0   1466477527
     0.000          0          0   1466477532
     0.000          0          0   1466477587
     0.000          0          0   1466477592
     0.000          0          0   1466477647
     0.000          0          0   1466477652
     0.000          0          0   1466477707
     0.000          0          0   1466477712
     0.000          0          0   1466477767
     0.000          0          0   1466477773
     0.000          0          0   1466477827
     0.000          0          0   1466477833
     0.000          0          0   1466477887
     0.000          0          0   1466477893
     0.000          0          0   1466477947
     0.000          0          0   1466477953
     0.000          0          0   1466478007
     0.000          0          0   1466478013
     0.000          0          0   1466478067
     0.000          0          0   1466478073
     0.000          0          0   1466478127
     0.000          0          0   1466478133
     0.000          0          0   1466478188
     0.000          0          0   1466478193
     0.000          0          0   1466478248
     0.000          0          0   1466478253
     0.000          0          0   1466478308
     0.000          0          0   1466478313
     0.000          0          0   1466478368
     0.000          0          0   1466478373
     0.000          0          0   1466478428
     0.000          0          0   1466478433
     0.000          0          0   1466478488
     0.000          0          0   1466478493
     0.000          0          0   1466478548
     0.000          0          0   1466478553
     0.000          0          0   1466478608
     0.000          0          0   1466478613
     0.000          0          0   1466478668
     0.000          0          0   1466478673
     0.000          0          0   1466478728
     0.000          0          0   1466478733
     0.000          0          0   1466478788
     0.000          0          0   1466478793
     0.000          0          0   1466478848
     0.000          0          0   1466478854
     0.000          0          0   1466478908
     0.000          0          0   1466478914
     0.000          0          0   1466478968
     0.000          0          0   1466478974
     0.000          0          0   1466479028
     0.000          0          0   1466479034
     0.000          0          0   1466479088
     0.000          0          0   1466479094
     0.000          0          0   1466479148
     0.000          0          0   1466479154
     0.000          0          0   1466479208
     0.000          0          0   1466479214
     0.000          0          0   1466479268
     0.000          0          0   1466479274
     0.000          0          0   1466479328
     0.000          0          0   1466479334
     0.000          0          0   1466479388
     0.000          0          0   1466479394
     0.000          0          0   1466479448
     0.000          0          0   1466479454
     0.000          0          0   1466479508
     0.000          0          0   1466479514
     0.000          0          0   1466479569
     0.000          0          0   1466479574
     0.000          0          0   1466479629
     0.000          0          0   1466479634
     0.000          0          0   1466479689
     0.000          0          0   1466479694
     0.000          0          0   1466479749
     0.000          0          0   1466479754
     0.000          0          0   1466479809
     0.000          0          0   1466479814
     0.000          0          0   1466479869
     0.000          0          0   1466479874
     0.000          0          0   1466479929
     0.000          0          0   1466479934
     0.000          0          0   1466479989
     0.000          0          0   1466479994
     0.000          0          0   1466480049
     0.000          0          0   1466480054
     0.000          0          0   1466480109
     0.000          0          0   1466480114
     0.000          0          0   1466480169
     0.000          0          0   1466480174
     0.000          0          0   1466480229
     0.000          0          0   1466480234
     0.000          0          0   1466480289
     0.000          0          0   1466480295
     0.000          0          0   1466480349
     0.000          0          0   1466480355
     0.000          0          0   1466480409
     0.000          0          0   1466480415
     0.000          0          0   1466480469
     0.000          0          0   1466480475
     0.000          0          0   1466480529
     0.000          0          0   1466480535
     0.000          0          0   1466480589
     0.000          0          0   1466480595
     0.000          0          0   1466480650
     0.000          0          0   1466480655
     0.000          0          0   1466480710
     0.000          0          0   1466480715
     0.000          0          0   1466480770
     0.000          0          0   1466480775
     0.000          0          0   1466480830
     0.000          0          0   1466480835
     0.000          0          0   1466480890
     0.000          0          0   1466480895
     0.000          0          0   1466480950
     0.000          0          0   1466480955
     0.000          0          0   1466481010
     0.000          0          0   1466481015
     0.000          0          0   1466481070
     0.000          0          0   1466481075
     0.000          0          0   1466481130
     0.000          0          0   1466481135
     0.000          0          0   1466481190
     0.000          0          0   1466481195
     0.000          0          0   1466481250
     0.000          0          0   1466481255
     0.000          0          0   1466481310
     0.000          0          0   1466481315
     0.000          0          0   1466481370
     0.000          0          0   1466481376
     0.000          0          0   1466481430
     0.000          0          0   1466481436
     0.000          0          0   1466481490
     0.000          0          0   1466481496
     0.000          0          0   1466481550
     0.000          0          0   1466481556
     0.000          0          0   1466481610
     0.000          0          0   1466481616
     0.000          0          0   1466481670
     0.000          0          0   1466481676
     0.000          0          0   1466481730
     0.000          0          0   1466481736
     0.000          0          0   1466481791
     0.000          0          0   1466481796
     0.000          0          0   1466481851
     0.000          0          0   1466481856
     0.000          0          0   1466481911
     0.000          0          0   1466481916
     0.000          0          0   1466481971
     0.000          0          0   1466481976
     0.000          0          0   1466482031
     0.000          0          0   1466482036
     0.000          0          0   1466482091
     0.000          0          0   1466482096
     0.000          0          0   1466482151
     0.000          0          0   1466482156
     0.000          0          0   1466482211
     0.000          0          0   1466482216
     0.000          0          0   1466482271
     0.000          0          0   1466482276
     0.000          0          0   1466482331
     0.000          0          0   1466482336
     0.000          0          0   1466482391
     0.000          0          0   1466482396
     0.000          0          0   1466482451
     0.000          0          0   1466482456
     0.000          0          0   1466482511
     0.000          0          0   1466482517
     0.000          0          0   1466482571
     0.000          0          0   1466482577
     0.000          0          0   1466482631
     0.000          0          0   1466482637
     0.000          0          0   1466482691
     0.000          0          0   1466482697
     0.000          0          0   1466482751
     0.000          0          0   1466482757
     0.000          0          0   1466482811
     0.000          0          0   1466482817
     0.000          0          0   1466482871
     0.000          0          0   1466482877
     0.000          0          0   1466482932
     0.000          0          0   1466482937
     0.000          0          0   1466482992
     0.000          0          0   1466482997
     0.000          0          0   1466483052
     0.000          0          0   1466483057
     0.000          0          0   1466483112
     0.000          0          0   1466483117
     0.000          0          0   1466483172
     0.000          0          0   1466483177
     0.000          0          0   1466483232
     0.000          0          0   1466483237
     0.000          0          0   1466483292
     0.000          0          0   1466483297
     0.000          0          0   1466483352
     0.000          0          0   1466483357
     0.000          0          0   1466483412
     0.000          0          0   1466483417
     0.000          0          0   1466483472
     0.000          0          0   1466483477
     0.000          0          0   1466483532
     0.000          0          0   1466483537
     0.000          0          0   1466483592
     0.000          0          0   1466483597
     0.000          0          0   1466483652
     0.000          0          0   1466483657
     0.000          0          0   1466483712
     0.000          0          0   1466483717
     0.000          0          0   1466483772
     0.000          0          0   1466483777
     0.000          0          0   1466483832
     0.000          0          0   1466483838
     0.000          0          0   1466483892
     0.000          0          0   1466483898
     0.000          0          0   1466483952
     0.000          0          0   1466483958
     0.000          0          0   1466484012
     0.000          0          0   1466484018
     0.000          0          0   1466484072
     0.000          0          0   1466484078
     0.000          0          0   1466484132
     0.000          0          0   1466484138
     0.000          0          0   1466484192
     0.000          0          0   1466484198
     0.000          0          0   1466484252
     0.000          0          0   1466484258
     0.000          0          0   1466484313
     0.000          0          0   1466484318
     0.000          0          0   1466484373
     0.000          0          0   1466484378
     0.000          0          0   1466484433
     0.000          0          0   1466484438
     0.000          0          0   1466484493
     0.000          0          0   1466484498
     0.000          0          0   1466484553
     0.000          0          0   1466484558
     0.000          0          0   1466484613
     0.000          0          0   1466484618
     0.000          0          0   1466484673
     0.000          0          0   1466484678
     0.000          0          0   1466484733
     0.000          0          0   1466484738
     0.000          0          0   1466484793
     0.000          0          0   1466484798
     0.000          0          0   1466484853
     0.000          0          0   1466484859
     0.000          0          0   1466484913
     0.000          0          0   1466484919
     0.000          0          0   1466484973
     0.000          0          0   1466484979
     0.000          0          0   1466485033
     0.000          0          0   1466485039
     0.000          0          0   1466485093
