light presence action
0 0.1 2
0 0 2
0 0.1 2
0 0.1 2
34.167 0 2
45 0.8 2
417.5 0.9 2
0.833 0 2
0 0 2
0 0 2
0 0.2 2
0 0.3 2
44.167 0.9 2
0 0.2 2
0 0.1 2
43.333 0.7 2
0 0 2
0 0.2 2
0 0.1 2
0 0.1 2
110.833 0.5 2
0 0 2
0 0.2 2
0 0 2
1.667 0 2
335.833 0.2 2
45.833 1 2
134.167 0 2
0 0 2
0 0 2
0 0 2
0.833 0 2
41.667 1 2
0.833 0 2
0 0 2
0 0 2
23.333 0 2
43.333 1 2
15 0 2
67.5 1 2
443.333 1 2
0.833 0 2
402.5 0.2 2
0 0 2
0 0.2 2
173.333 1 2
0 0 2
0 0 2
207.5 1 2
30 0 2
0 0 2
41.667 0.8 2
77.5 1 2
157.5 0 2
114.167 0 2
0 0.1 2
42.5 0.8 2
518.333 0.6 2
351.667 0 2
0 0.3 2
0 0 2
0.833 0 2
0 0.3 2
54.167 0.8 2
43.333 0.9 2
0 0 2
0 0 2
42.5 0.7 2
44.167 0.8 2
24.167 0 2
44.167 1 2
0.833 0 2
42.5 0.9 2
46.667 0.8 2
38.333 0.9 2
304.167 1 2
0 0.1 2
44.167 1 2
42.5 0.9 2
44.167 1 2
46.667 1 2
0 0 2
0 0 2
0 0 2
0 0 2
0 0 2
0 0 2
35.833 0 2
0 0 2
290.833 0.8 2
0 0.2 2
42.5 1 2
0 0 2
40.833 1 2
0 0 2
0 0 2
407.5 0 2
0 0 2
0 0 2
44.167 1 2
0.833 0 2
0 0 2
0 0 2
0 0.1 2
41.667 1 2
93.333 0 2
0 0.1 2
0 0 2
14.167 0.1 2
0 0.1 2
0 0.1 2
0 0.1 2
371.667 0.5 2
29.167 0 2
34.167 1 2
0 0 2
46.667 1 2
0 0 2
0 0 2
36.667 0 2
0 0 2
54.167 0.1 2
0 0 2
45 1 2
0 0 2
0.833 0 2
45 1 2
0 0.1 2
40.833 0.9 2
0 0 2
0 0 2
223.333 0 2
0 0 2
0 0.1 2
0 0.3 2
65.833 0 2
0 0 2
377.5 0 2
7.5 0 2
43.333 0.2 2
0 0.1 2
0 0 2
29.167 1 2
0 0 2
0 0 2
46.667 0.8 2
20 0.4 2
0 0.2 2
0 0 2
0 0 2
0 0.2 2
15 0 2
45.833 0.9 2
0 0 2
0 0 2
33.333 0 2
43.333 0.9 2
0 0 2
0 0.1 2
0 0 2
105 0.3 2
39.167 0.8 2
23.333 0 2
32.5 0 2
0 0 2
0 0 2
0 0 2
466.667 1 2
0 0 2
0 0.1 2
490.833 0.9 2
0.833 0.2 2
70.833 0 2
100.833 0 2
261.667 0 2
0 0.3 2
0.833 0 2
0 0.1 2
0 0 2
34.167 0 2
0 0.1 2
43.333 1 2
51.667 1 2
0 0 2
21.667 0 2
5.833 0 2
0 0.2 2
0 0 2
41.667 0.1 2
2.5 0 2
0 0 2
42.5 0.9 2
0 0 2
0 0.1 2
43.333 1 2
420.833 1 2
228.333 0 2
41.667 0.8 2
48.333 0.8 2
50 1 2
494.167 0 2
41.667 1 2
0 0 2
45 0.6 2
0 0 2
0 0.3 2
0 0 2
15.833 0.8 1
16.667 0.9 1
0 0.8 1
15.833 0.8 1
0 0.7 1
0 0.7 1
30 1 1
45.833 1 1
4.167 0.7 1
0 0.9 1
0 0.7 1
22.5 0.9 1
13.333 0.9 1
0 0.8 1
1.667 0.7 1
0 0.8 1
1.667 0.7 1
0 0.7 1
0 1 1
43.333 0.7 1
4.167 0.9 1
0 0.9 1
0.833 0.8 1
4.5663428603597 0.8 1
16.5901683300459 0.890787569549866 1
14.0969930979349 0.8 1
15.833 0.8 1
15.8987581666554 0.807884672260843 1
9.55995551719517 0.8 1
16.4689676707233 0.9 1
15.6624957331065 0.9 1
14.8987612711848 0.9 1
10.5042032338521 0.9 1
22.3883522446437 0.9 1
15.8462181163561 0.801584906037897 1
0 0.8 1
0 0.87326810231898 1
0 0.8 1
0 0.811292858421803 1
0 0.8 1
0.0282689024759457 0.8 1
15.833 0.8 1
14.1365463659326 0.867858145362698 1
15.833 0.8 1
7.87124807881936 0.8 1
14.4329706602888 0.856001173588447 1
15.833 0.8 1
0 0.7 1
0 0.7 1
0 0.7 1
1.20761400168692 0.7 1
0.250996003349544 0.7 1
1.40862987886649 0.7 1
0.86128646077076 0.7 1
1.20038377174456 0.7 1
0 0.7 1
0 0.7 1
0 0.7 1
1.45401529809833 0.7 1
44.7549654432954 1 1
3.94254681654275 1 1
21.0135152516887 1 1
41.6107441388345 1 1
21.7858610104711 0.938392417388968 1
7.28015637723729 1 1
44.0214616694625 0.992236153385602 1
32.0780767861446 0.957677159341983 1
37.9733546177805 0.973052028450184 1
27.3856757901534 0.877017838601023 1
23.6197798457888 0.904799125040881 1
38.2481652291329 0.967493100883439 1
2.32243810388166 0.7 1
2.19502001126111 0.7 1
3.39658832984814 0.7 1
3.09810688193701 0.7 1
0.910718469248386 0.7 1
1.3638935064089 0.7 1
0 0.9 1
0 0.827607770333998 1
0 0.873782007000409 1
3.21447531291959 0.9 1
0 0.892171642486937 1
0 0.9 1
0 0.7 1
0.690501972506987 0.7 1
1.35708938456886 0.7 1
0.672060982064577 0.7 1
0.125366003185045 0.7 1
0 0.7 1
17.0746795971799 0.818624262744561 1
29.9758605030365 0.999678140040487 1
26.886234440608 0.958483125874773 1
17.2394708931581 0.821096008596942 1
26.4167499536416 0.952223332715221 1
17.7144460011008 0.828220279002562 1
4.85907329120696 0.9 1
14.2090204333859 0.9 1
4.16940385569027 0.9 1
11.9334002216829 0.9 1
14.9962103759688 0.9 1
8.39452743971068 0.9 1
0 0.825863942876458 1
0 0.8 1
0 0.829237030493096 1
0 0.8 1
0 0.8 1
0.265446505638771 0.8 1
0.992506509520113 0.7 1
0.135795507997973 0.7 1
0.947511632355396 0.7 1
0.489444354804466 0.7 1
0.605903853827156 0.7 1
1.14145038898359 0.7 1
0.350120591086801 0.8 1
0 0.822832248569466 1
0 0.8 1
0 0.8 1
0 0.835501469788142 1
0 0.864110048674047 1
1.31080004701344 0.7 1
1.64135487816413 0.7 1
0.290796552409418 0.7 1
1.50334515618975 0.7 1
1.667 0.7 1
0.137232434126781 0.7 1
1.01106613382325 0.7 1
0 0.7 1
0 0.7 1
0.597267983256606 0.7 1
0 0.7 1
1.09801468722709 0.7 1
9.50812585080438 0.942952385847457 1
0 0.912794370367192 1
3.45983163430402 0.916970683122054 1
0 0.972163750231266 1
0 0.96535585145466 1
0 0.985679837083444 1
12.3672220442411 0.7 1
33.6943336888072 0.792532677110285 1
43.2337232099222 0.700744594540447 1
36.9688227219898 0.723142462829128 1
22.8679867548794 0.774418229982257 1
28.8154439410551 0.839370768098161 1
7.79206394158118 0.9 1
3.86902131336392 0.9 1
2.18866973792901 0.840661959745921 1
0.557736132879043 0.9 1
13.2386825332651 0.9 1
2.21807055630349 0.841543807927519 1
0 0.852669044397771 1
0 0.822955246805213 1
0 0.879072808055207 1
0 0.9 1
0 0.816385111631826 1
0 0.9 1
0.318776979189599 0.8 1
12.5339601090103 0.8 1
0.419574511012528 0.8 1
0.752715825007763 0.8 1
0.11285519351624 0.8 1
9.3260605837144 0.8 1
43.333 0.1 0
47.5 0.4 0
45 0.3 0
51.667 0.1 0
47.5 0.3 0
47.5 0.1 0
44.167 0.4 0
45.833 1 0
42.5 0.2 0
43.333 0 0
45.833 0.3 0
43.333 0.3 0
37.5 0.2 0
38.333 0.2 0
43.333 0.3 0
44.167 0.2 0
44.167 0.3 0
41.667 0.3 0
42.5 0.4 0
43.333 0.4 0
45 0 0
44.167 0.3 0
