light presence light_on hour week_day month month_day changed_to
15.833 1 0 16 0 6 26 1
47.5 0 1 18 0 6 26 0
47.5 0 0 18 0 6 26 1
47.5 0 1 18 0 6 26 0
44.167 1 0 19 0 6 26 1
47.5 1 1 1 1 6 27 0
56.667 1 0 17 1 6 27 1
45 1 1 22 1 6 27 0
0 0 0 6 2 6 28 1
51.667 1 1 7 2 6 28 0
15.833 0 0 16 2 6 28 1
45.833 1 1 17 2 6 28 0
0 1 0 17 2 6 28 1
47.5 1 1 23 2 6 28 0
0 0 0 5 3 6 29 1
47.5 1 1 6 3 6 29 0
0 0 0 19 3 6 29 1
44.167 1 1 21 3 6 29 0
4.167 0 0 17 4 6 30 1
43.333 0 1 17 4 6 30 0
0 1 0 20 4 6 30 1
45.833 0 1 22 4 6 30 0
