light presence light_on hour week_day month month_day actuate action
15.833 1 0 16 0 6 26 TRUE 1
47.5 0 1 18 0 6 26 TRUE 0
47.5 0 0 18 0 6 26 TRUE 1
47.5 0 1 18 0 6 26 TRUE 0
44.167 1 0 19 0 6 26 TRUE 1
47.5 0.8 1 1 1 6 27 TRUE 0
56.667 1 0 17 1 6 27 TRUE 1
45 0.8 1 22 1 6 27 TRUE 0
0 0.8 0 6 2 6 28 TRUE 1
51.667 0.2 1 7 2 6 28 TRUE 0
15.833 0.6 0 16 2 6 28 TRUE 1
45.833 1 1 17 2 6 28 TRUE 0
0 1 0 17 2 6 28 TRUE 1
47.5 1 1 23 2 6 28 TRUE 0
0 0.6 0 5 3 6 29 TRUE 1
47.5 0.2 1 6 3 6 29 TRUE 0
0 0.4 0 19 3 6 29 TRUE 1
44.167 0.6 1 21 3 6 29 TRUE 0
4.167 0.6 0 17 4 6 30 TRUE 1
43.333 0 1 17 4 6 30 TRUE 0
0 1 0 20 4 6 30 TRUE 1
45.833 0.4 1 22 4 6 30 TRUE 0
0 0.6 0 19 5 7 1 TRUE 1
43.333 0.6 1 23 5 7 1 TRUE 0
13.333 0.8 0 16 6 7 2 TRUE 1
38.333 0.4 1 18 6 7 2 TRUE 0
0 0.4 0 22 6 7 2 TRUE 1
43.333 0.6 1 0 0 7 3 TRUE 0
1.667 0.6 0 17 0 7 3 TRUE 1
48.333 0.6 1 17 0 7 3 TRUE 0
0 0.2 0 17 0 7 3 TRUE 1
44.167 0.6 1 23 0 7 3 TRUE 0
1.667 0.8 0 17 1 7 4 TRUE 1
41.667 1 1 0 2 7 5 TRUE 0
0 0.2 0 17 2 7 5 TRUE 1
42.5 0.4 1 23 2 7 5 TRUE 0
42.5 0.4 0 21 3 7 6 TRUE 1
43.333 0.6 1 22 3 7 6 TRUE 0
43.333 0 0 23 3 7 6 TRUE 1
45 0 1 0 4 7 7 TRUE 0
4.167 0.8 0 17 4 7 7 TRUE 1
42.5 0.6 1 19 4 7 7 TRUE 0
0.833 0.2 0 22 5 7 8 TRUE 1
45 0.4 1 0 6 7 9 TRUE 0
