light presence hour week_day month month_day lamp changed_to
0 1 18 0 6 19 0 1
31.667 1 18 0 6 19 1 0
0 1 18 0 6 19 0 1
31.667 1 18 0 6 19 1 0
0 1 21 0 6 19 0 1
23.333 1 21 0 6 19 1 0
0 1 21 0 6 19 0 1
31.667 1 21 0 6 19 1 0
0 1 21 0 6 19 0 1
31.667 0 21 0 6 19 1 0
0 1 21 0 6 19 0 1
30.833 1 21 0 6 19 1 0
0 1 21 0 6 19 0 1
20 1 21 0 6 19 1 0
15.833 1 21 0 6 19 0 1
30.833 1 21 0 6 19 1 0
0 1 21 0 6 19 0 1
20 1 21 0 6 19 1 0
10.833 1 21 0 6 19 0 1
30.833 1 23 0 6 19 1 0
0 1 18 1 6 20 0 1
30 1 18 1 6 20 1 0
19.167 1 21 1 6 20 0 1
31.667 1 21 1 6 20 1 0
0 1 21 1 6 20 0 1
21.667 1 21 1 6 20 1 0
0 1 20 2 6 21 0 1
31.667 1 21 2 6 21 1 0
0 1 18 3 6 22 0 1
29.167 1 18 3 6 22 1 0
10 1 19 4 6 23 0 1
29.167 1 19 4 6 23 1 0
0 1 19 4 6 23 0 1
30 1 19 4 6 23 1 0
0 1 20 4 6 23 0 1
29.167 1 20 4 6 23 1 0
10 1 18 5 6 24 0 1
30.833 1 18 5 6 24 1 0
0 1 18 5 6 24 0 1
31.667 1 19 5 6 24 1 0
27.5 0 17 0 6 26 0 1
30.833 1 18 0 6 26 1 0
0 1 18 0 6 26 0 1
30 1 18 0 6 26 1 0
13.333 1 18 0 6 26 0 1
29.167 1 18 0 6 26 1 0
17.5 1 19 0 6 26 0 1
30.833 1 19 0 6 26 1 0
9.167 1 21 0 6 26 0 1
30.833 1 22 0 6 26 1 0
30 0 17 1 6 27 0 1
30 1 18 1 6 27 1 0
10.833 1 20 1 6 27 0 1
30.833 1 21 1 6 27 1 0
1.667 1 21 1 6 27 0 1
32.5 1 21 1 6 27 1 0
1.667 1 21 1 6 27 0 1
31.667 1 23 1 6 27 1 0
0 1 18 2 6 28 0 1
30 1 18 2 6 28 1 0
0 1 19 2 6 28 0 1
30 1 19 2 6 28 1 0
0 1 20 2 6 28 0 1
30.833 1 20 2 6 28 1 0
12.5 1 21 2 6 28 0 1
33.333 1 22 2 6 28 1 0
0 1 17 3 6 29 0 1
30 1 18 3 6 29 1 0
0 1 19 3 6 29 0 1
22.5 1 19 3 6 29 1 0
0 1 19 3 6 29 0 1
30 1 19 3 6 29 1 0
0 1 20 3 6 29 0 1
30.833 1 21 3 6 29 1 0
17.5 1 21 3 6 29 0 1
31.667 1 21 3 6 29 1 0
1.667 1 21 3 6 29 0 1
30.833 1 22 3 6 29 1 0
15.833 1 20 4 6 30 0 1
30 1 20 4 6 30 1 0
0 1 21 4 6 30 0 1
30.833 1 23 4 6 30 1 0
0 1 18 6 7 2 0 1
29.167 1 18 6 7 2 1 0
17.5 1 23 6 7 2 0 1
30 1 23 6 7 2 1 0
0 1 21 0 7 3 0 1
28.333 1 21 0 7 3 1 0
0 1 18 1 7 4 0 1
30 1 18 1 7 4 1 0
14.167 1 18 1 7 4 0 1
30 1 19 1 7 4 1 0
0 1 19 1 7 4 0 1
30 1 19 1 7 4 1 0
0 1 21 1 7 4 0 1
30 1 21 1 7 4 1 0
0 1 19 2 7 5 0 1
30 1 19 2 7 5 1 0
0 1 19 2 7 5 0 1
25.833 1 19 2 7 5 1 0
0 1 20 2 7 5 0 1
29.167 1 20 2 7 5 1 0
0 1 23 2 7 5 0 1
29.167 1 23 2 7 5 1 0
0 1 18 3 7 6 0 1
29.167 1 18 3 7 6 1 0
0 1 21 3 7 6 0 1
29.167 1 21 3 7 6 1 0
