light presence hour week_day month month_day action
0 0.8 18 0 6 19 1
31.667 0.666666666666667 18 0 6 19 0
0 0.666666666666667 18 0 6 19 1
31.667 0.266666666666667 18 0 6 19 0
0 0.733333333333333 21 0 6 19 1
23.333 0.666666666666667 21 0 6 19 0
0 0.666666666666667 21 0 6 19 1
31.667 0.6 21 0 6 19 0
0 0.666666666666667 21 0 6 19 1
31.667 0.666666666666667 21 0 6 19 0
0 0.733333333333333 21 0 6 19 1
30.833 0.733333333333333 21 0 6 19 0
0 0.6 21 0 6 19 1
20 0.533333333333333 21 0 6 19 0
15.833 0.4 21 0 6 19 1
30.833 0.333333333333333 21 0 6 19 0
0 0.266666666666667 21 0 6 19 1
20 0.266666666666667 21 0 6 19 0
10.833 0.733333333333333 21 0 6 19 1
30.833 0.133333333333333 23 0 6 19 0
0 0.266666666666667 18 1 6 20 1
30 0.133333333333333 18 1 6 20 0
19.167 0.333333333333333 21 1 6 20 1
31.667 0.133333333333333 21 1 6 20 0
0 0.2 21 1 6 20 1
21.667 0.133333333333333 21 1 6 20 0
0 0.666666666666667 20 2 6 21 1
31.667 0.133333333333333 21 2 6 21 0
0 0.466666666666667 18 3 6 22 1
29.167 0.133333333333333 18 3 6 22 0
10 0.533333333333333 19 4 6 23 1
29.167 0.466666666666667 19 4 6 23 0
0 0.266666666666667 19 4 6 23 1
30 0.133333333333333 19 4 6 23 0
0 0.266666666666667 20 4 6 23 1
29.167 0.133333333333333 20 4 6 23 0
10 0.4 18 5 6 24 1
30.833 0.133333333333333 18 5 6 24 0
0 0.466666666666667 18 5 6 24 1
31.667 0.133333333333333 19 5 6 24 0
27.5 0.533333333333333 17 0 6 26 1
30.833 0.133333333333333 18 0 6 26 0
0 0.733333333333333 18 0 6 26 1
30 0.4 18 0 6 26 0
13.333 0.2 18 0 6 26 1
29.167 0.133333333333333 18 0 6 26 0
17.5 0.266666666666667 19 0 6 26 1
30.833 0.133333333333333 19 0 6 26 0
9.167 0.266666666666667 21 0 6 26 1
30.833 0.133333333333333 22 0 6 26 0
30 0.133333333333333 17 1 6 27 1
30 0.133333333333333 18 1 6 27 0
10.833 1 20 1 6 27 1
30.833 0.266666666666667 21 1 6 27 0
1.667 0.266666666666667 21 1 6 27 1
32.5 0.8 21 1 6 27 0
1.667 1 21 1 6 27 1
31.667 0.133333333333333 23 1 6 27 0
0 0.133333333333333 18 2 6 28 1
30 0.133333333333333 18 2 6 28 0
0 0.4 19 2 6 28 1
30 0.133333333333333 19 2 6 28 0
0 0.8 20 2 6 28 1
30.833 0.2 20 2 6 28 0
12.5 1 21 2 6 28 1
33.333 0.133333333333333 22 2 6 28 0
0 0.4 17 3 6 29 1
30 0.4 18 3 6 29 0
0 0.4 19 3 6 29 1
22.5 0.333333333333333 19 3 6 29 0
0 0.266666666666667 19 3 6 29 1
30 0.0666666666666667 19 3 6 29 0
0 0.666666666666667 20 3 6 29 1
30.833 0.466666666666667 21 3 6 29 0
17.5 0.733333333333333 21 3 6 29 1
31.667 0.733333333333333 21 3 6 29 0
1.667 1 21 3 6 29 1
30.833 0.133333333333333 22 3 6 29 0
15.833 0.466666666666667 20 4 6 30 1
30 0.133333333333333 20 4 6 30 0
0 0.933333333333333 21 4 6 30 1
30.833 0.0666666666666667 23 4 6 30 0
0 0.466666666666667 18 6 7 2 1
29.167 0.133333333333333 18 6 7 2 0
17.5 0.2 23 6 7 2 1
30 0.133333333333333 23 6 7 2 0
0 0.466666666666667 21 0 7 3 1
28.333 0.133333333333333 21 0 7 3 0
0 0.333333333333333 18 1 7 4 1
30 0.133333333333333 18 1 7 4 0
14.167 0.666666666666667 18 1 7 4 1
30 0.333333333333333 19 1 7 4 0
0 0.466666666666667 19 1 7 4 1
30 0.133333333333333 19 1 7 4 0
0 0.2 21 1 7 4 1
30 0.133333333333333 21 1 7 4 0
0 0.466666666666667 19 2 7 5 1
30 0.333333333333333 19 2 7 5 0
0 0.2 19 2 7 5 1
25.833 0.133333333333333 19 2 7 5 0
0 0.266666666666667 20 2 7 5 1
29.167 0.133333333333333 20 2 7 5 0
0 0.266666666666667 23 2 7 5 1
29.167 0.133333333333333 23 2 7 5 0
0 0.266666666666667 18 3 7 6 1
29.167 0.133333333333333 18 3 7 6 0
0 0.266666666666667 21 3 7 6 1
29.167 0.133333333333333 21 3 7 6 0
